   ,SPECIES_ID,SPECIES_NAME,ALPHA_CODE,Download,TAXONOMIC_ORDER,SCI_NAME,RECOMENDSIZE,ALLOWABLESIZE,ENDANGERED,RAPTOR,GAMEBIRD
830,6620,Blackburnian Warbler,BLBW,8,937,Setophaga fusca,"0, 0A","0, 0A, 1C",,,
831,6630,Yellow-throated Warbler,YTWA,8,949,Setophaga dominica,"0A, 0","0A, 0",,,
832,6634,Sutton's Warbler,SUWA,8,950,,0A,"0A, 0",,,
833,6640,Grace's Warbler,GRWA,8,955,Setophaga graciae,"0A, 0","0A, 0",,,
834,6641,Adelaide's Warbler,ADWA,8,952,Setophaga adelaidae,"0A, 0","0A, 0",,,
835,6642,Barbuda Warbler,BARW,8,953,Setophaga subita,"0A, 0","0A, 0",,,
836,6643,St. Lucia Warbler,SLWA,8,954,Setophaga delicata,"0A, 0","0A, 0",,,
837,6650,Black-throated Gray Warbler,BTYW,8,956,Setophaga nigrescens,"0A, 0","0A, 0",,,
838,6660,Golden-cheeked Warbler,GCWA,8,960,Setophaga chrysoparia,0A,"0A, 0",Y,,
839,6670,Black-throated Green Warbler,BTNW,8,961,Setophaga virens,"0A, 0","0A, 0",,,
840,6680,Townsend's Warbler,TOWA,8,957,Setophaga townsendi,"0A, 0","0A, 0",,,
841,6686,Townsend's X Hermit Warbler Hybrid,THWH,8,958,,"0A, 0","0A, 0",,,
842,6690,Hermit Warbler,HEWA,8,959,Setophaga occidentalis,"0A, 0","0A, 0",,,
843,6700,Kirtland's Warbler,KIWA,8,930,Setophaga kirtlandii,"1C, 1","1C, 1, 0",,,
844,6710,Pine Warbler,PIWA,8,945,Setophaga pinus,"0, 0A","0, 0A, 1, 1C",,,
845,6720,Western Palm Warbler,WPWA,8,942,Setophaga palmarum palmarum,"0, 0A","0, 0A, 1C",,,
846,6729,Yellow Palm Warbler,YPWA,8,943,Setophaga palmarum hypochrysea,"0, 0A","0, 0A, 1C",,,
847,6730,Prairie Warbler,PRAW,8,951,Setophaga discolor,"0A, 0","0A, 0",,,
848,6740,Ovenbird,OVEN,8,901,Seiurus aurocapilla,"1, 1C, 0","1, 1C, 0, 1B",,,
849,6750,Northern Waterthrush,NOWA,8,904,Parkesia noveboracensis,"1, 0, 1C","1, 0, 1C",,,
850,6760,Louisiana Waterthrush,LOWA,8,903,Parkesia motacilla,"1C, 1","1C, 1, 0","Ontario, Québec",,
851,6770,Kentucky Warbler,KEWA,8,923,Geothlypis formosa,"0, 1C, 1","0, 1C, 1",,,
852,6780,Connecticut Warbler,CONW,8,919,Oporornis agilis,"1, 0, 1C","1, 0, 1C",,,
853,6790,Mourning Warbler,MOWA,8,922,Geothlypis philadelphia,"0, 0A, 1, 1C","0, 0A, 1, 1C",,,
854,6800,MacGillivray's Warbler,MGWA,8,921,Geothlypis tolmiei,"1C, 1, 0, 0A","1C, 1, 0, 0A",,,
855,6810,Common Yellowthroat,COYE,8,925,Geothlypis trichas,"0, 1C, 0A, 1","0, 1C, 0A, 1",,,
856,6821,Gray-crowned Yellowthroat,GCYE,8,920,Geothlypis poliocephala,"1, 1C, 1B","1, 1C, 1B",,,
857,6830,Yellow-breasted Chat,YBCH,8,970,Icteria virens,"1B, 1A, 1D","1B, 1A, 1D, 1P","British Columbia, Ontario",,
858,6840,Hooded Warbler,HOWA,8,928,Setophaga  citrina,"0, 0A, 1C, 1","0, 0A, 1C, 1",,,
859,6850,Wilson's Warbler,WIWA,8,966,Cardellina pusilla,"0A, 0","0A, 0, 1C",,,
860,6860,Canada Warbler,CAWA,8,965,Cardellina canadensis,"0, 0A","0, 0A, 1, 1C","Alberta, British Columbia, Manitoba, New Brunswick, Nova Scotia, Ontario, Prince Edward Island, Québec, Saskatchewan, Yukon Territory, Northwest Territories",,
861,6870,American Redstart,AMRE,8,929,Setophaga ruticilla,"0A, 0","0A, 0, 1C",,,
862,6880,Painted Redstart,PARE,8,968,Myioborus pictus,"0A, 0","0A, 0",,,
863,6881,Fan-tailed Warbler,FTWA,8,962,Basileuterus lachrymosus,1,"1, 1B, 1C",,,
866,6890,Slate-throated Redstart,SLAR,8,969,Myioborus miniatus,"0A, 0","0A, 0",,,
867,6900,Red-faced Warbler,RFWA,8,967,Cardellina rubrifrons,"0A, 0","0A, 0",,,
868,6920,Golden-crowned Warbler,GOLW,8,964,Basileuterus culicivorus,"0A, 0","0A, 0",,,
